1;Нимерия;ж;Неизвестно;Принцесса Дорна;Неизвестно;37;True;2;653
2;Морс Мартелл;ж;Дорнийцы;Принц Дорна;Дорн, Вестерос;29;False;8;147
3;Мартелл (дочь Морса);ж;Дорнийцы;Принцесса Дорна;Солнечное Копьё, Дорн, Вестерос;53;True;5;416
4;Мерия Мартелл;м;Дорнийцы;Принцесса Дорна;Солнечное Копьё, Дорн, Вестерос;36;False;5;147
5;Нимор Мартелл;м;Дорнийцы;Принц ДорнаЛорд Солнечного Копья;Солнечное Копьё, Дорн, Вестерос;42;False;1;147
6;Марон Мартелл;ж;Дорнийцы;Принц ДорнаЛорд Солнечного Копья;Солнечное Копьё, Дорн, Вестерос;23;True;0;147
7;Дейнерис Мартелл;м;Неизвестно;Нет;Неизвестно;18;False;0;147
8;Мирия Мартелл;м;Дорнийцы;Королева-консортПринцесса (ранее);Солнечное Копьё, Дорн, Вестерос;34;False;3;147
9;Эллария Сэнд;ж;Дорнийцы;Нет;Неизвестно;14;True;8;145
10;Сарелла Сэнд;ж;Неизвестно;Нет;Неизвестно;19;False;6;145
11;Элия Сэнд;ж;Дорнийцы;Нет;Неизвестно;58;True;8;145
12;Обелла Сэнд;ж;Дорнийцы;Нет;Неизвестно;54;False;13;145
13;Дорея Сэнд;м;Дорнийцы;Нет;Неизвестно;54;False;13;145
14;Лореза Сэнд;м;Дорнийцы;Нет;Неизвестно;66;True;11;145
15;Левин Мартелл;м;Неизвестно;ПринцСир;Солнечное Копьё, Дорн, Вестерос;19;True;6;147
16;Элия Мартелл;м;Дорнийцы;Принцесса;Солнечное Копьё, Дорн, Вестерос;44;True;1;147
17;Оберин Мартелл;м;Дорнийцы;Принц;Солнечное Копьё, Дорн, Вестерос;68;False;1;147
18;Доран Мартелл;ж;Дорнийцы;Принц Дорна  Лорд Солнечного Копья;Солнечное Копьё, Дорн, Вестерос;60;True;1;147
19;Тритан Мартелл;ж;Неизвестно;Нет;Неизвестно;41;False;5;147
20;Обара Сэнд;м;Дорнийцы;Нет;Солнечное Копьё, Дорн, Вестерос;40;True;4;145
21;Нимерия Сэнд;ж;Дорнийцы;Нет;Йи Ти, Эссос;44;False;2;145
22;Тиена Сэнд;м;Дорнийцы;Нет;Неизвестно;73;True;12;145
23;Арео Хотах;ж;Норвос;Капитан стражи;Норвос, Вольные города, Эссос;19;False;2;750
